municipality_code,municipality_name,state_name,service_type,year,quarter,avg_d_Mbps,avg_u_Mbps,avg_lat_ms,tests
1200344,Manoel Urbano,Acre,fixed,2019,1,7.3744,0.6003999999999999,25.2,5
1200385,Plácido de Castro,Acre,fixed,2019,1,8.790875,0.414125,27.5,8
1200401,Rio Branco,Acre,fixed,2019,1,24.045056681270538,4.859572015334063,38.53778751369113,3652
1200427,Rodrigues Alves,Acre,fixed,2019,1,3.946,0.555,100.0,2
1200435,Santa Rosa do Purus,Acre,fixed,2019,1,0.8307105263157895,0.3975526315789474,57.76315789473684,38
1200450,Senador Guiomard,Acre,fixed,2019,1,10.209456310679613,0.9360970873786408,30.766990291262136,103
1200500,Sena Madureira,Acre,fixed,2019,1,7.366035714285713,0.7305714285714285,46.94642857142857,112
1200609,Tarauacá,Acre,fixed,2019,1,5.011977777777778,1.2702888888888888,31.94814814814815,135
1200708,Xapuri,Acre,fixed,2019,1,7.7007160493827165,0.7048148148148149,53.48148148148148,81
1200807,Porto Acre,Acre,fixed,2019,1,9.616800000000001,9.57265,31.65,20
1300029,Alvarães,Amazonas,fixed,2019,1,0.45,0.5,37.0,4
1300086,Anamã,Amazonas,fixed,2019,1,5.077433628318583,4.860884955752213,27.424778761061948,113
1300102,Anori,Amazonas,fixed,2019,1,1.328,0.451,33.0,8
1300144,Apuí,Amazonas,fixed,2019,1,1.011,0.209,85.0,1
1300300,Autazes,Amazonas,fixed,2019,1,1.7999999999999998,1.64225,112.5,8
1300631,Beruri,Amazonas,fixed,2019,1,3.152866666666667,0.9486666666666667,15.133333333333333,15
1300706,Boca do Acre,Amazonas,fixed,2019,1,2.0823684210526316,1.6935789473684213,37.578947368421055,19
1300839,Caapiranga,Amazonas,fixed,2019,1,3.7915384615384613,1.4009230769230772,33.23076923076923,26
1301100,Careiro,Amazonas,fixed,2019,1,10.57780412371134,2.1545876288659795,186.05154639175257,97
1301159,Careiro da Várzea,Amazonas,fixed,2019,1,4.958,3.32,22.0,2
1301209,Coari,Amazonas,fixed,2019,1,1.519246153846154,1.5120307692307693,19.323076923076922,65
1301308,Codajás,Amazonas,fixed,2019,1,4.171222222222222,1.850888888888889,19.333333333333332,9
1301654,Guajará,Amazonas,fixed,2019,1,3.67,0.918,86.0,1
1301704,Humaitá,Amazonas,fixed,2019,1,2.733205128205128,3.6281794871794872,58.84615384615385,39
1301852,Iranduba,Amazonas,fixed,2019,1,9.471015015015015,4.810474474474474,49.13813813813814,333
1301902,Itacoatiara,Amazonas,fixed,2019,1,11.69508510638298,4.345112462006079,21.267477203647417,658
1302405,Lábrea,Amazonas,fixed,2019,1,0.968,0.498,19.0,1
1302504,Manacapuru,Amazonas,fixed,2019,1,4.316655601659751,3.3957095435684646,43.90871369294606,241
1302553,Manaquiri,Amazonas,fixed,2019,1,16.87581818181818,4.923,702.9090909090909,11
1302603,Manaus,Amazonas,fixed,2019,1,50.11895584352605,16.542380516191606,33.18751010291503,37118
1302702,Manicoré,Amazonas,fixed,2019,1,0.705888888888889,0.42533333333333334,69.44444444444444,9
1302900,Maués,Amazonas,fixed,2019,1,6.540736842105264,3.035263157894737,48.421052631578945,19
1303007,Nhamundá,Amazonas,fixed,2019,1,54.116,10.306,77.0,1
1303106,Nova Olinda do Norte,Amazonas,fixed,2019,1,11.801063829787234,2.277595744680851,654.1914893617021,47
1303205,Novo Airão,Amazonas,fixed,2019,1,13.12425,3.46628125,45.78125,32
1303304,Novo Aripuanã,Amazonas,fixed,2019,1,0.99,0.529,81.0,1
1303403,Parintins,Amazonas,fixed,2019,1,14.187023255813951,8.522590116279071,76.09302325581395,344
1303502,Pauini,Amazonas,fixed,2019,1,1.0015999999999998,0.5532,79.4,10
1303536,Presidente Figueiredo,Amazonas,fixed,2019,1,7.591491379310345,0.9154094827586208,245.18103448275863,232
1303569,Rio Preto da Eva,Amazonas,fixed,2019,1,6.8893370786516845,4.017764044943821,127.33707865168539,89
1304062,Tabatinga,Amazonas,fixed,2019,1,1.225,1.09,110.0,4
1304203,Tefé,Amazonas,fixed,2019,1,12.9779341894061,10.885215088282505,18.364365971107546,623
1304302,Urucará,Amazonas,fixed,2019,1,1.237,1.413,19.0,3
1304401,Urucurituba,Amazonas,fixed,2019,1,1.839,2.38375,77.5,4
1400027,Amajari,Roraima,fixed,2019,1,3.3129500000000007,2.8625000000000003,59.85,20
1400050,Alto Alegre,Roraima,fixed,2019,1,9.288472868217056,1.2999844961240308,17.790697674418606,129
1400100,Boa Vista,Roraima,fixed,2019,1,26.197046175898432,6.7348131463089995,26.407597010340943,9767
1400159,Bonfim,Roraima,fixed,2019,1,5.182903225806452,3.109967741935484,29.06451612903226,31
1400175,Cantá,Roraima,fixed,2019,1,25.25732,9.270813333333333,50.84,75
1400209,Caracaraí,Roraima,fixed,2019,1,10.757015873015872,12.601126984126985,17.873015873015873,63
1400233,Caroebe,Roraima,fixed,2019,1,1.214,0.752,71.0,4
1400282,Iracema,Roraima,fixed,2019,1,4.424,0.418,7.0,1
1400308,Mucajaí,Roraima,fixed,2019,1,2.812263157894737,0.8585263157894737,72.07894736842105,38
1400407,Normandia,Roraima,fixed,2019,1,3.326,0.512,46.0,2
1400456,Pacaraima,Roraima,fixed,2019,1,3.7120434782608696,4.416695652173913,33.21739130434783,23
1400472,Rorainópolis,Roraima,fixed,2019,1,5.581454545454546,0.5898181818181819,26.727272727272727,33
1400506,São João da Baliza,Roraima,fixed,2019,1,8.936,0.7586666666666666,31.666666666666668,3
1400605,São Luiz,Roraima,fixed,2019,1,6.218166666666668,0.5642083333333333,27.583333333333332,24
1500107,Abaetetuba,Pará,fixed,2019,1,7.282420249653259,6.215109570041609,46.27877947295423,721
1500131,Abel Figueiredo,Pará,fixed,2019,1,25.702538461538463,11.581230769230771,38.23076923076923,39
1500206,Acará,Pará,fixed,2019,1,9.339175000000001,4.605700000000001,54.4,40
1500305,Afuá,Pará,fixed,2019,1,8.105,0.885,1335.5,2
1500347,Água Azul do Norte,Pará,fixed,2019,1,8.232500000000002,5.15659375,21.90625,32
1500404,Alenquer,Pará,fixed,2019,1,4.61503125,6.3883125,69.96875,32
1500503,Almeirim,Pará,fixed,2019,1,6.26860220994475,7.204850828729283,31.70718232044199,181
1500602,Altamira,Pará,fixed,2019,1,13.655512769153733,17.73242814221332,35.59589384076114,1997
1500701,Anajás,Pará,fixed,2019,1,0.694,0.854,53.0,3
1500800,Ananindeua,Pará,fixed,2019,1,18.046296194153335,5.987876999448427,52.39658025372311,5439
1500859,Anapu,Pará,fixed,2019,1,5.107208333333333,7.814583333333332,74.95833333333333,24
1500958,Aurora do Pará,Pará,fixed,2019,1,5.6886363636363635,0.8254545454545453,49.90909090909091,11
1501105,Bagre,Pará,fixed,2019,1,2.152,4.793,59.0,1
1501204,Baião,Pará,fixed,2019,1,2.9074,1.7619,49.9,10
1501253,Bannach,Pará,fixed,2019,1,8.762285714285714,11.27457142857143,32.857142857142854,7
1501303,Barcarena,Pará,fixed,2019,1,5.080233632862645,3.3782721437740695,88.23363286264441,779
1501402,Belém,Pará,fixed,2019,1,28.706002122691572,8.323899384419443,50.68191466779877,18844
1501451,Belterra,Pará,fixed,2019,1,8.464,3.618,83.0,15
1501501,Benevides,Pará,fixed,2019,1,8.265603864734299,5.763004830917874,143.04347826086956,207
1501576,Bom Jesus do Tocantins,Pará,fixed,2019,1,14.909066666666666,6.172066666666666,96.4,15
1501600,Bonito,Pará,fixed,2019,1,1.4601086956521738,0.982195652173913,134.15217391304347,46
1501709,Bragança,Pará,fixed,2019,1,9.446063670411984,6.686131086142321,61.80524344569288,267
1501725,Brasil Novo,Pará,fixed,2019,1,11.362131578947366,8.286486842105264,48.35526315789474,76
1501758,Brejo Grande do Araguaia,Pará,fixed,2019,1,18.175392156862745,10.202156862745097,8.941176470588236,51
1501782,Breu Branco,Pará,fixed,2019,1,10.697578947368422,5.673210526315789,29.157894736842106,38
1501808,Breves,Pará,fixed,2019,1,8.012754385964914,7.041800438596492,62.449561403508774,456
1501907,Bujaru,Pará,fixed,2019,1,2.6237555555555554,1.3827555555555557,740.9111111111112,45
1501956,Cachoeira do Piriá,Pará,fixed,2019,1,1.204,0.525,30.0,4
1502004,Cachoeira do Arari,Pará,fixed,2019,1,1.86225,0.6072500000000001,16.25,4
1502103,Cametá,Pará,fixed,2019,1,10.438884615384616,4.304115384615385,131.69230769230768,26
1502152,Canaã dos Carajás,Pará,fixed,2019,1,19.255521879021877,12.45125546975547,44.458172458172456,1554
1502202,Capanema,Pará,fixed,2019,1,19.8576906779661,10.706040960451977,50.96186440677966,708
1502301,Capitão Poço,Pará,fixed,2019,1,10.450301418439716,7.569485815602836,74.75531914893617,282
1502400,Castanhal,Pará,fixed,2019,1,29.25559483282675,15.44178905775076,17.579939209726444,3290
1502509,Chaves,Pará,fixed,2019,1,0.477,0.727,1359.0,1
1502608,Colares,Pará,fixed,2019,1,2.29,0.862,118.0,1
1502707,Conceição do Araguaia,Pará,fixed,2019,1,17.3696178343949,6.519757961783439,24.426751592356688,157
1502756,Concórdia do Pará,Pará,fixed,2019,1,26.127295698924733,5.7508602150537635,21.306451612903224,186
1502764,Cumaru do Norte,Pará,fixed,2019,1,2.988285714285714,5.638285714285715,81.71428571428571,7
1502772,Curionópolis,Pará,fixed,2019,1,6.936731707317073,3.3857154471544715,44.67479674796748,123
1502855,Curuá,Pará,fixed,2019,1,6.764,19.171,68.0,4
1502905,Curuçá,Pará,fixed,2019,1,7.156999999999999,5.1331428571428575,42.714285714285715,14
1502939,Dom Eliseu,Pará,fixed,2019,1,21.360025396825396,14.267698412698412,27.076190476190476,315
1502954,Eldorado do Carajás,Pará,fixed,2019,1,28.39888888888889,2.730527777777778,11.61111111111111,36
1503002,Faro,Pará,fixed,2019,1,0.897,0.687,54.0,2
1503044,Floresta do Araguaia,Pará,fixed,2019,1,16.547675893886968,8.378737024221453,12.117647058823529,867
1503077,Garrafão do Norte,Pará,fixed,2019,1,2.8032,2.3688000000000002,260.6,5
1503093,Goianésia do Pará,Pará,fixed,2019,1,15.16549333333333,4.863233333333333,26.526666666666667,150
