state_code,state_name,service_type,year,quarter,avg_d_Mbps,avg_u_Mbps,avg_lat_ms,tests
11,Rondônia,fixed,2019,1,20.820284795841594,9.573049107448192,30.82962861637371,14621
12,Acre,fixed,2019,1,20.531121199051114,4.220496226008195,41.27560923010567,4637
13,Amazonas,fixed,2019,1,47.075700161832444,15.70988014440433,35.90561434084402,40165
14,Roraima,fixed,2019,1,25.495022374877333,6.635064769381747,26.483218842001964,10190
15,Pará,fixed,2019,1,21.152758642351326,9.408508471027183,47.90912205893551,52532
16,Amapá,fixed,2019,1,7.22409514890429,5.333846413185991,49.07604420303428,5339
17,Tocantins,fixed,2019,1,30.351078262174532,15.684453515419824,33.23050949200871,13327
21,Maranhão,fixed,2019,1,20.555098324557203,8.954619554810915,52.76316419339397,41780
22,Piauí,fixed,2019,1,28.945611439216776,14.306811288596455,40.81576756906734,25229
23,Ceará,fixed,2019,1,33.24561585289272,14.476216870941288,23.67944768279439,135357
24,Rio Grande do Norte,fixed,2019,1,29.307150316336994,9.110938433069093,21.763960089024483,39989
25,Paraíba,fixed,2019,1,27.614944126835695,10.333404756338597,32.30809937729794,47053
26,Pernambuco,fixed,2019,1,28.850644620420777,10.75177534363142,24.265596915783167,115167
27,Alagoas,fixed,2019,1,20.883608745219185,7.450347491909386,37.12095469255664,27192
28,Sergipe,fixed,2019,1,23.353547643866143,7.283027964487259,42.0575464577118,27821
29,Bahia,fixed,2019,1,29.342574085437494,12.520117672402536,30.297523304697496,153188
31,Minas Gerais,fixed,2019,1,34.701043400431324,14.04580606598096,30.62285934948441,305573
32,Espírito Santo,fixed,2019,1,28.48043603009491,9.814974495837356,27.83578962709271,54893
33,Rio de Janeiro,fixed,2019,1,38.79251908867859,14.397116668769716,21.88820189274448,356625
35,São Paulo,fixed,2019,1,46.68735085474392,22.392048454502074,21.92818668040696,1051894
41,Paraná,fixed,2019,1,31.43917121820616,16.709333273836084,24.826853091377856,201690
42,Santa Catarina,fixed,2019,1,27.767773993687623,10.638247355026563,26.197039407881576,179964
43,Rio Grande do Sul,fixed,2019,1,32.725341379656925,12.299672937326902,22.950968239077994,179088
50,Mato Grosso do Sul,fixed,2019,1,26.34276297014615,11.608614670637944,46.092147491399416,43311
51,Mato Grosso,fixed,2019,1,16.41995320232746,6.0905419418963405,36.358457747499635,48293
52,Goiás,fixed,2019,1,33.15180278893281,13.060645830830039,36.52805691699605,158125
53,Distrito Federal,fixed,2019,1,44.387377974859085,10.816443969759327,26.493267424174643,89416
11,Rondônia,fixed,2019,2,30.303616247604015,14.990162588792424,30.62543691509753,17738
12,Acre,fixed,2019,2,28.934037250554322,5.209726385809313,35.58713968957871,4510
13,Amazonas,fixed,2019,2,57.272853963805645,20.30468657673491,32.504417422695106,42106
14,Roraima,fixed,2019,2,42.51011432751594,8.654317901557112,23.842616783362942,9569
15,Pará,fixed,2019,2,32.77599743321287,17.792505032253707,32.82631970009119,59218
16,Amapá,fixed,2019,2,29.72563869528854,17.19480415388904,24.59938667410092,7174
17,Tocantins,fixed,2019,2,36.508908153774605,20.292105565028677,29.61409083862967,12902
21,Maranhão,fixed,2019,2,27.147195403292,12.455861709940812,37.61820106277271,46294
22,Piauí,fixed,2019,2,40.89842769698768,21.471248516100314,25.982156106247217,26956
23,Ceará,fixed,2019,2,37.999295875361085,17.253004999357323,19.330715266643665,147819
24,Rio Grande do Norte,fixed,2019,2,34.832420854916236,12.048093938121237,20.109057818843624,42858
25,Paraíba,fixed,2019,2,34.83000460987197,13.802318040905066,30.263507528786537,49676
