state_code,state_name,service_type,year,quarter,avg_d_Mbps,avg_u_Mbps,avg_lat_ms,tests
11,Rondônia,fixed,2024,1,192.4370073422923,139.01284630022565,11.719915125795696,59382
12,Acre,fixed,2024,1,208.56328086323046,131.28352302992323,14.469019269935767,25532
13,Amazonas,fixed,2024,1,197.01393706489392,107.02441859592125,28.071391520380025,146516
14,Roraima,fixed,2024,1,147.45822788405798,99.91856046376812,29.636289855072462,17250
15,Pará,fixed,2024,1,177.10292153541124,131.29391867260367,16.366325811168263,211331
16,Amapá,fixed,2024,1,180.5642864225172,147.4402058212058,22.349192387653925,12506
17,Tocantins,fixed,2024,1,180.36912879452535,129.52514516331186,15.639285087609355,39893
21,Maranhão,fixed,2024,1,185.63420097227203,139.43036476140057,11.063374148265792,175671
22,Piauí,fixed,2024,1,157.79475871349933,124.23067925395947,12.288231873081136,73937
23,Ceará,fixed,2024,1,152.73401359022984,121.21367976029735,7.543129788363802,329575
24,Rio Grande do Norte,fixed,2024,1,166.1793326155655,118.3049003380613,9.074064819578158,136070
25,Paraíba,fixed,2024,1,143.1820563437254,96.67424812273386,10.893733130345888,135969
26,Pernambuco,fixed,2024,1,144.4889349607912,104.54779654041694,9.57322369517982,377849
27,Alagoas,fixed,2024,1,140.24676758839615,98.37526409844529,11.141433843917923,104586
28,Sergipe,fixed,2024,1,162.40871378978073,104.46396343668738,9.174223524597737,75759
29,Bahia,fixed,2024,1,141.6075181065473,98.45739364244162,9.485670520652425,658712
31,Minas Gerais,fixed,2024,1,186.25250207609426,126.42805573128234,12.662615363612714,776458
32,Espírito Santo,fixed,2024,1,173.4515357731052,108.45662260481912,14.1381581993399,151189
33,Rio de Janeiro,fixed,2024,1,196.7536094644822,113.63952800972176,9.730518986440993,913415
35,São Paulo,fixed,2024,1,209.53189296786772,122.9325248735004,10.601278861804955,2488150
41,Paraná,fixed,2024,1,192.52189494946174,137.7043858015807,9.173715159839134,607955
42,Santa Catarina,fixed,2024,1,199.70857774178987,121.76614988241222,9.5014331009575,380992
43,Rio Grande do Sul,fixed,2024,1,188.2397094185658,117.1940742465982,9.734514567159195,479160
50,Mato Grosso do Sul,fixed,2024,1,189.212861551405,135.32197417129393,13.022757866397443,118860
51,Mato Grosso,fixed,2024,1,181.72270924904507,131.64523942960722,14.488202391417659,128543
52,Goiás,fixed,2024,1,209.08583776698237,138.82710930489648,11.245937423523422,355501
53,Distrito Federal,fixed,2024,1,257.64713491530955,140.5489637028037,8.863185049508541,220568
11,Rondônia,fixed,2024,2,206.13707118102877,145.13697823293487,14.72464078501616,51362
12,Acre,fixed,2024,2,220.80119684392213,141.44794053587574,14.053341004356046,24334
13,Amazonas,fixed,2024,2,198.296214155136,110.39725657168971,29.519691430012294,126908
14,Roraima,fixed,2024,2,160.9536814006569,106.73412069253466,30.44207537716417,17963
15,Pará,fixed,2024,2,187.0330624821872,136.67609462664387,16.902889743902936,196488
16,Amapá,fixed,2024,2,172.32012362258953,128.82666873278237,31.03538223140496,11616
17,Tocantins,fixed,2024,2,186.02367911499437,129.86526285231116,16.586330326944758,35480
21,Maranhão,fixed,2024,2,200.79169608693667,145.35998024225898,12.217054668084302,153307
22,Piauí,fixed,2024,2,168.21675371289126,128.92178509672104,12.023432828584818,61879
23,Ceará,fixed,2024,2,165.97266175358752,128.30177678041986,7.258120107922201,269824
24,Rio Grande do Norte,fixed,2024,2,181.47556303248248,129.27748535515636,7.623544337831253,119018
25,Paraíba,fixed,2024,2,152.58569957231546,103.07673309726376,10.857374108990573,108725
26,Pernambuco,fixed,2024,2,160.94327189881284,114.58005182189264,8.648128917565364,347633
27,Alagoas,fixed,2024,2,156.1003787621803,109.73140025718625,10.245213786069817,90207
