state_code,state_name,service_type,year,quarter,avg_d_Mbps,avg_u_Mbps,avg_lat_ms,tests
11,Rondônia,fixed,2022,1,126.21694286538958,83.65852144256917,8.961733027481126,65827
12,Acre,fixed,2022,1,122.24530009581986,66.02021379805964,10.691549886213918,33396
13,Amazonas,fixed,2022,1,153.55784104311132,67.1369764412241,9.586767426980476,173481
14,Roraima,fixed,2022,1,112.33511069058737,68.15654096829687,8.007274514622758,20345
15,Pará,fixed,2022,1,108.98302516423765,76.63269762380358,10.593592632220886,273841
16,Amapá,fixed,2022,1,125.76167483693784,96.60484407826982,10.570751802265706,14565
17,Tocantins,fixed,2022,1,119.09436468765134,74.52090791283294,13.495786924939468,51625
21,Maranhão,fixed,2022,1,113.05665742869154,80.8716428315877,11.695061849860917,223606
22,Piauí,fixed,2022,1,131.18728733847075,102.11494621740928,10.944774091173814,118477
23,Ceará,fixed,2022,1,103.15823273489086,77.89608844145874,8.404686457438999,418141
24,Rio Grande do Norte,fixed,2022,1,96.2595197971868,58.00216391887472,8.118606476938174,152850
25,Paraíba,fixed,2022,1,91.55559925862906,54.65190376762275,11.660324501701506,164560
26,Pernambuco,fixed,2022,1,98.87451571414891,65.10525626211927,8.965940375208472,501268
27,Alagoas,fixed,2022,1,78.3146038235532,49.23611313647268,11.908400495970241,148396
28,Sergipe,fixed,2022,1,92.08924464128744,51.77650832544459,11.665782000135236,118312
29,Bahia,fixed,2022,1,91.77021251873677,54.22607825244223,10.861658138212643,773880
31,Minas Gerais,fixed,2022,1,132.92098251162903,76.99526093402972,12.263760647924496,987399
32,Espírito Santo,fixed,2022,1,115.17283450967247,61.77637182053247,10.775225052671901,208840
33,Rio de Janeiro,fixed,2022,1,132.01200298179495,62.821808205425135,9.24950930527188,1129521
35,São Paulo,fixed,2022,1,144.69415336707593,75.72776809436066,9.642832967933268,3258985
41,Paraná,fixed,2022,1,123.46491547204789,79.43231083522508,9.66958350025267,763842
42,Santa Catarina,fixed,2022,1,121.98907108018261,66.09011155675907,9.830874597465812,499647
43,Rio Grande do Sul,fixed,2022,1,119.70426453734763,65.66187736889471,9.809287408983066,611150
50,Mato Grosso do Sul,fixed,2022,1,125.5280503709131,71.651436624233,12.18442950034671,152866
51,Mato Grosso,fixed,2022,1,123.20893843362775,80.60864179512377,10.942835379149537,171977
52,Goiás,fixed,2022,1,142.24184679653163,84.66771296444703,11.649728087264913,442973
53,Distrito Federal,fixed,2022,1,188.49425152717407,81.68196793928622,8.50496618345666,326911
