state_code,state_name,service_type,year,quarter,avg_d_Mbps,avg_u_Mbps,avg_lat_ms,tests
11,Rondônia,fixed,2023,1,155.96238279460422,112.19984190209553,11.595041147026386,47148
12,Acre,fixed,2023,1,163.70494866033576,103.82254120739358,14.236560963201628,23588
13,Amazonas,fixed,2023,1,162.89990518539713,85.73702423265762,38.57929455706497,132796
14,Roraima,fixed,2023,1,134.09327766990293,87.8236898214845,17.827497651111806,15965
15,Pará,fixed,2023,1,141.46807571499696,103.49514418874811,16.337522819051834,180770
16,Amapá,fixed,2023,1,135.01553965723394,103.37721213630928,41.780888800318856,10036
17,Tocantins,fixed,2023,1,152.66178916391638,109.20234914741474,17.323212321232123,36360
21,Maranhão,fixed,2023,1,142.6584980881961,106.87758147482015,13.071342925659472,150120
22,Piauí,fixed,2023,1,134.93181738384786,105.1565125662613,12.535375740567508,64140
23,Ceará,fixed,2023,1,128.93522850312704,102.55288977926186,8.211124181157745,289891
24,Rio Grande do Norte,fixed,2023,1,125.0638721706464,86.1665767088389,8.048810397685566,115795
25,Paraíba,fixed,2023,1,115.45788234293899,76.24877155002686,12.110721317343835,111740
26,Pernambuco,fixed,2023,1,119.94420322532649,85.36317444861568,9.61137562806881,349484
27,Alagoas,fixed,2023,1,110.36451870963818,74.67226407404779,12.08032319873478,98639
28,Sergipe,fixed,2023,1,125.17056259219059,76.2085125379199,11.738958002838775,71862
29,Bahia,fixed,2023,1,113.8677034977769,78.27747752632996,11.12294888259099,545861
31,Minas Gerais,fixed,2023,1,155.39923443858626,103.7448529080435,13.79532875194241,655114
32,Espírito Santo,fixed,2023,1,142.7245568751839,89.68357157927218,14.286625666492045,139349
33,Rio de Janeiro,fixed,2023,1,163.45632118365359,87.80823511311407,9.714541884018086,803039
35,São Paulo,fixed,2023,1,174.54005473849548,97.69535624290633,10.594706604061356,2219407
41,Paraná,fixed,2023,1,157.08675087056253,110.93155810301334,9.9723394557208,541891
42,Santa Catarina,fixed,2023,1,156.29322697292153,92.9202627124849,9.648571637765873,327788
43,Rio Grande do Sul,fixed,2023,1,153.94823890430473,95.13478513204038,10.382254306954934,404346
50,Mato Grosso do Sul,fixed,2023,1,155.98997542475453,115.1493043887569,13.367337607029183,111535
51,Mato Grosso,fixed,2023,1,152.8706703077295,109.97541938776426,14.517015999785118,111689
52,Goiás,fixed,2023,1,175.09851283090808,118.81938482201988,12.86330100332378,323126
53,Distrito Federal,fixed,2023,1,217.55335376023035,111.92811443507163,12.93265114840904,206982
11,Rondônia,fixed,2023,2,159.5906491406747,115.11702365796732,13.294016549968173,47130
12,Acre,fixed,2023,2,169.75274319222427,102.98480363884649,16.508554904008353,24898
13,Amazonas,fixed,2023,2,158.02346042689192,85.50574201575162,45.62559068599475,131415
14,Roraima,fixed,2023,2,132.13907941935486,86.87200309677421,25.45,15500
15,Pará,fixed,2023,2,144.39589160659256,105.94497536193421,20.09633164168919,184633
16,Amapá,fixed,2023,2,151.7467841547674,116.84896121602948,25.613726393367113,10855
17,Tocantins,fixed,2023,2,159.070354123625,113.83816433078341,17.96465464291697,35818
21,Maranhão,fixed,2023,2,151.29936363636364,113.41295452916376,12.609972566319781,153461
22,Piauí,fixed,2023,2,137.72834102459694,106.29801805184815,14.505029483177246,66309
23,Ceará,fixed,2023,2,131.41343802395411,105.64922603048583,8.066328238694206,292726
24,Rio Grande do Norte,fixed,2023,2,137.7549137046491,96.7583491819057,8.165903669916727,119485
25,Paraíba,fixed,2023,2,119.8321920594131,80.75269982603474,12.31560123983363,113241
26,Pernambuco,fixed,2023,2,124.55807691600889,89.11102146534631,9.04256019159348,337381
27,Alagoas,fixed,2023,2,116.49071109852281,79.94048193821082,12.15318750272343,91796
28,Sergipe,fixed,2023,2,131.55034337484827,81.88739058495571,10.035400086926547,66723
29,Bahia,fixed,2023,2,122.21017643788035,83.45196027787256,10.349118920860843,553923
31,Minas Gerais,fixed,2023,2,162.85942968510966,110.56140514420767,13.263293704066786,640604
32,Espírito Santo,fixed,2023,2,151.82692099218448,95.90779176117076,14.231143728059404,138442
33,Rio de Janeiro,fixed,2023,2,172.34498685695098,93.84117837241972,9.733935656214278,810086
35,São Paulo,fixed,2023,2,181.5001656567032,104.85002802938232,10.442270883884689,2115423
41,Paraná,fixed,2023,2,165.77981971573115,117.03235478238722,9.454704684843977,541811
42,Santa Catarina,fixed,2023,2,169.57884719326074,101.93399477094499,9.857526640995792,312676
43,Rio Grande do Sul,fixed,2023,2,160.7212518967344,100.43259866802892,9.841194611571499,422832
50,Mato Grosso do Sul,fixed,2023,2,162.05082430494068,121.27557376483088,13.731122720028333,112940
51,Mato Grosso,fixed,2023,2,158.6560754328498,109.66583571361723,15.241076275152082,106850
52,Goiás,fixed,2023,2,183.1392323443323,124.29236401209194,12.979782792981558,312605
53,Distrito Federal,fixed,2023,2,226.56048245007503,118.56333310285133,12.284005060360679,195243
11,Rondônia,fixed,2023,3,171.12284592886306,121.03717299387563,12.947726915829145,50944
12,Acre,fixed,2023,3,183.3964153598713,110.0368093723727,23.470811858025368,27357
13,Amazonas,fixed,2023,3,165.62724677853464,88.26544366173782,42.31257019438445,150475
14,Roraima,fixed,2023,3,145.03660529588558,92.7231726603793,29.092755725981966,19298
15,Pará,fixed,2023,3,152.8242119775787,111.6682176027932,20.292540995429203,201059
16,Amapá,fixed,2023,3,165.63736206600205,127.22512985562047,26.041251289102785,11636
17,Tocantins,fixed,2023,3,163.9541408613472,113.02265466498883,18.587431623821875,38939
21,Maranhão,fixed,2023,3,162.20760069141667,121.21452549521636,13.469718052901415,161697
22,Piauí,fixed,2023,3,150.24747346381292,114.6557791252664,14.599795875484045,66626
23,Ceará,fixed,2023,3,141.22568719854735,111.83790616429287,8.315982270643792,317214
24,Rio Grande do Norte,fixed,2023,3,152.70939318822292,106.97361844679999,8.59597005114877,132359
25,Paraíba,fixed,2023,3,128.56987046384447,86.85763596516104,11.556078590236986,123425
26,Pernambuco,fixed,2023,3,131.62395673101875,95.07602180522814,8.908413671020245,366059
27,Alagoas,fixed,2023,3,123.84264960164077,87.288077118009,13.273990297388972,101416
28,Sergipe,fixed,2023,3,144.60935044482943,91.7442337080408,10.180966771306874,76771
29,Bahia,fixed,2023,3,129.99832446161705,88.4447979469773,10.112641083521444,606910
31,Minas Gerais,fixed,2023,3,171.71394039305198,114.26756305350722,13.443292291417404,707082
32,Espírito Santo,fixed,2023,3,162.15152790230437,99.91116797419566,14.528927370636634,146332
